,datetime,title,source,link,top_sentiment,sentiment_score
0,7/23/2024 7:39:17 PM,SoundHound AI Stock: High-Growth Potential or Overvalued Risk?,InvestorPlace,/news/stocks/soundhound-ai-stock-high-growth-potential-or-overvalued-risk-1033584264,neutral,0.8305176496505737
1,7/24/2024 3:38:26 AM,"Elon Musk Talks Robotaxi Delay, Nvidia Clusters, And Mexican Gigafactory Postponement Amid Tariff Worries If Trump Wins — Tesla Falls Almost 8% After-Hours",Benzinga,/news/stocks/elon-musk-talks-robotaxi-delay-nvidia-clusters-and-mexican-gigafactory-postponement-amid-tariff-worries-if-trump-wins-—-tesla-falls-almost-8-after-hours-1033584822,negative,0.9612237215042114
2,7/24/2024 10:00:00 AM,All 7 Magnificent 7 Stocks Rated From Worst to First,InvestorPlace,/news/stocks/all-7-magnificent-7-stocks-rated-from-worst-to-first-1033587565,neutral,0.7579172253608704
3,7/24/2024 10:10:00 AM,Why Nvidia Stock Is the No. 1 Semiconductor and AI Play Right Now,InvestorPlace,/news/stocks/why-nvidia-stock-is-the-no-1-semiconductor-and-ai-play-right-now-1033587708,neutral,0.9246523380279541
4,7/24/2024 10:15:00 AM,AMD Stock Analysis: Undervalued AI Play? Why Analysts Are Bullish Ahead of Earnings.,InvestorPlace,/news/stocks/amd-stock-analysis-undervalued-ai-play-why-analysts-are-bullish-ahead-of-earnings-1033587702,neutral,0.6200560331344604
5,7/24/2024 10:30:00 AM,Expect ARM Stock to Fly High at the End of July,InvestorPlace,/news/stocks/expect-arm-stock-to-fly-high-at-the-end-of-july-1033587694,positive,0.9198905825614929
6,7/24/2024 10:41:00 AM,3 Stocks Doing Even Better Than Superstar Super Micro (SMCI),InvestorPlace,/news/stocks/3-stocks-doing-even-better-than-superstar-super-micro-smci-1033587788,positive,0.9439041018486023
7,7/24/2024 10:45:00 AM,SMCI Alert: Buy Super Micro Computer Stock Before August,InvestorPlace,/news/stocks/smci-alert-buy-super-micro-computer-stock-before-august-1033587787,neutral,0.9498916268348694
8,7/24/2024 10:47:00 AM,Don’t Be Left Behind! 3 AI Stocks Powering the Technological Revolution,InvestorPlace,/news/stocks/dont-be-left-behind-3-ai-stocks-powering-the-technological-revolution-1033587786,neutral,0.8901629447937012
9,7/24/2024 11:00:00 AM,3 AI Stocks to Buy That Can Continue the Momentum,InvestorPlace,/news/stocks/3-ai-stocks-to-buy-that-can-continue-the-momentum-1033587942,neutral,0.6888419389724731
10,7/24/2024 11:07:00 AM,Our Top 3 AI Stock Recommendations for Big-Time Gains,InvestorPlace,/news/stocks/our-top-3-ai-stock-recommendations-for-big-time-gains-1033587941,neutral,0.9068427085876465
11,7/24/2024 1:00:00 PM,3 AI Stocks to Buy BEFORE Q2 Earnings,InvestorPlace,/news/stocks/3-ai-stocks-to-buy-before-q2-earnings-1033588933,neutral,0.9161363244056702
12,7/24/2024 1:54:12 PM,The Worst of the Worst: 7 Meme Stocks to Avoid at all Costs,InvestorPlace,/news/stocks/the-worst-of-the-worst-7-meme-stocks-to-avoid-at-all-costs-1033589087,neutral,0.8141494393348694
13,7/24/2024 2:46:04 PM,Cohere Layoffs 2024: What to Know About the Latest AI Job Cuts,InvestorPlace,/news/stocks/cohere-layoffs-2024-what-to-know-about-the-latest-ai-job-cuts-1033589743,negative,0.8047524094581604
14,7/24/2024 3:06:53 PM,3 Millionaire-Maker Growth Stocks to Consider Adding This Summer,InvestorPlace,/news/stocks/3-millionaire-maker-growth-stocks-to-consider-adding-this-summer-1033589876,neutral,0.847357451915741
15,7/24/2024 3:25:12 PM,Why Are Stocks Down Today?,InvestorPlace,/news/stocks/why-are-stocks-down-today-69-1033589871,negative,0.9098419547080994
16,7/24/2024 4:55:47 PM,"US Services Activity Hits 28-Month Peak, Price Pressures Continue To Ease: Economist Calls It 'A Goldilocks Scenario'",Benzinga,/news/etf/us-services-activity-hits-28-month-peak-price-pressures-continue-to-ease-economist-calls-it-a-goldilocks-scenario-1033589798,positive,0.7906306982040405
17,7/24/2024 6:35:25 PM,Broadcom Stock Alert: Is Now the Best Time to Buy AVGO Shares?,InvestorPlace,/news/stocks/broadcom-stock-alert-is-now-the-best-time-to-buy-avgo-shares-1033590571,neutral,0.9189870953559875
18,7/24/2024 6:47:03 PM,"Nvidia, Qualcomm lead chips lower amid broader tech sell off (update)",Seeking Alpha,https://seekingalpha.com/news/4127578-nvidia-qualcomm-lead-chips-lower-amid-broader-tech-sell-off?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9135653376579285
19,7/24/2024 7:39:19 PM,Strong Earnings Suggest the Tech Stock Selloff Is Overdone,InvestorPlace,/news/stocks/strong-earnings-suggest-the-tech-stock-selloff-is-overdone-1033590658,negative,0.5214827060699463
20,7/24/2024 7:40:28 PM,3 Fabulous Growth Stocks to Buy and Hold Forever,InvestorPlace,/news/stocks/3-fabulous-growth-stocks-to-buy-and-hold-forever-1033590657,neutral,0.9336369037628174
21,7/24/2024 8:15:35 PM,5 Things To Know In Investing This Week: The Rate Cut Expectations Are 100% Issue,Benzinga,/news/stocks/5-things-to-know-in-investing-this-week-the-rate-cut-expectations-are-100-issue-1033590532,neutral,0.8748442530632019
22,7/24/2024 8:28:46 PM,NVDA Stock: What to Know as Nvidia Preps to Use Samsung Memory Chips,InvestorPlace,/news/stocks/nvda-stock-what-to-know-as-nvidia-preps-to-use-samsung-memory-chips-1033590874,neutral,0.9279736280441284
23,7/24/2024 10:37:50 PM,"Nasdaq 100 Notches Worst Session Since Late 2022, Falls Below Key 50-Day Moving Average: Is The AI Tech Bubble Bursting?",Benzinga,/news/etf/nasdaq-100-notches-worst-session-since-late-2022-falls-below-key-50-day-moving-average-is-the-ai-tech-bubble-bursting-1033590883,negative,0.9401242136955261
24,7/25/2024 10:15:00 AM,7 American Robotics Stocks to Buy if You’re Betting on Trump 2024,InvestorPlace,/news/stocks/7-american-robotics-stocks-to-buy-if-youre-betting-on-trump-2024-1033593794,neutral,0.9152959585189819
25,7/25/2024 10:16:00 AM,Apple Intelligence: Why AAPL Stock Is a Safe AI Bet for Long-Term Gains,InvestorPlace,/news/stocks/apple-intelligence-why-aapl-stock-is-a-safe-ai-bet-for-long-term-gains-1033593792,neutral,0.8118029832839966
26,7/25/2024 10:30:00 AM,3 Reasons Why Nvidia Stock Is Still Your Best AI Bet,InvestorPlace,/news/stocks/3-reasons-why-nvidia-stock-is-still-your-best-ai-bet-1033593785,neutral,0.8971342444419861
27,7/25/2024 10:47:00 AM,The 3 Best Emotion AI Stocks to Buy Now,InvestorPlace,/news/stocks/the-3-best-emotion-ai-stocks-to-buy-now-1033593959,neutral,0.8853422403335571
28,7/25/2024 1:19:15 PM,"Dear SMCI Stock Fans, Mark Your Calendars for Aug. 6",InvestorPlace,/news/stocks/dear-smci-stock-fans-mark-your-calendars-for-aug-6-1033594778,neutral,0.9383299946784973
29,7/25/2024 3:58:18 PM,3 Companies Gearing Up for a Stock Split,InvestorPlace,/news/stocks/3-companies-gearing-up-for-a-stock-split-1033595895,neutral,0.8961323499679565
30,7/25/2024 4:12:18 PM,"Nvidia, Magnificent 7 Stocks Sell Off and Wipe $1.7 Trillion Away. Why the Tech Woes?",InvestorPlace,/news/stocks/nvidia-magnificent-7-stocks-sell-off-and-wipe-1-7-trillion-away-why-the-tech-woes-1033596023,negative,0.5971437096595764
31,7/25/2024 6:14:19 PM,AMD Stock Outlook: Why the Recent Silo AI Acquisition Is a Game-Changer,InvestorPlace,/news/stocks/amd-stock-outlook-why-the-recent-silo-ai-acquisition-is-a-game-changer-1033596254,neutral,0.6172940731048584
32,7/25/2024 6:29:01 PM,3 Top-Performing Stocks Beating the Big Names in 2024,InvestorPlace,/news/stocks/3-top-performing-stocks-beating-the-big-names-in-2024-1033596309,positive,0.7216567993164062
33,7/25/2024 6:35:27 PM,Why AMD Stock Investors Should Be Cautious in the Short-Term,InvestorPlace,/news/stocks/why-amd-stock-investors-should-be-cautious-in-the-short-term-1033596308,neutral,0.8919572234153748
34,7/25/2024 7:45:29 PM,The 3 Best ETFs to Buy Now for AI and Robotics Exposure,InvestorPlace,/news/stocks/the-3-best-etfs-to-buy-now-for-ai-and-robotics-exposure-1033596355,neutral,0.8261944055557251
35,7/25/2024 8:45:00 PM,3 ‘Big Tech’ Stocks That Could Take a Big Hit from a Trump Win,InvestorPlace,/news/stocks/3-big-tech-stocks-that-could-take-a-big-hit-from-a-trump-win-1033596655,neutral,0.802322268486023
36,7/26/2024 10:30:00 AM,There’s Still Room to Rise After META Stock’s Spectacular Climb,InvestorPlace,/news/stocks/theres-still-room-to-rise-after-meta-stocks-spectacular-climb-1033599509,positive,0.8449769020080566
37,7/26/2024 10:31:00 AM,NVDA Stock Analysis: Nvidia’s Quantum Leap Signals a Strong Buy Opportunity,InvestorPlace,/news/stocks/nvda-stock-analysis-nvidias-quantum-leap-signals-a-strong-buy-opportunity-1033599507,positive,0.9496532082557678
38,7/26/2024 10:40:00 AM,2 Reasons AMD Could Be the Next Big Thing in AI Chips,InvestorPlace,/news/stocks/2-reasons-amd-could-be-the-next-big-thing-in-ai-chips-1033599557,neutral,0.922743022441864
39,7/26/2024 11:00:00 AM,7 Fantastic Forever Stocks to Buy and Never Let Go,InvestorPlace,/news/stocks/7-fantastic-forever-stocks-to-buy-and-never-let-go-1033599691,neutral,0.9114137887954712
40,7/26/2024 11:00:00 AM,3 Growth Stocks to Buy on the Dip: July 2024,InvestorPlace,/news/stocks/3-growth-stocks-to-buy-on-the-dip-july-2024-1033599690,neutral,0.896669328212738
41,7/26/2024 12:53:34 PM,3 Semiconductor Stocks to Bet On for Market-Crushing Returns,InvestorPlace,/news/stocks/3-semiconductor-stocks-to-bet-on-for-market-crushing-returns-1033600082,neutral,0.8836243152618408
42,7/26/2024 1:22:31 PM,3 High-Flying Tech Stocks Facing Valuation Concerns,InvestorPlace,/news/stocks/3-high-flying-tech-stocks-facing-valuation-concerns-1033600211,neutral,0.5973958969116211
43,7/26/2024 3:10:32 PM,3 Quantum Computing Stocks to Bet on for Market-Crushing Returns ,InvestorPlace,/news/stocks/3-quantum-computing-stocks-to-bet-on-for-market-crushing-returns-1033601092,neutral,0.9006878137588501
44,7/26/2024 4:41:05 PM,"The 3 Best Stocks to Buy Right Now With $1,000",InvestorPlace,/news/stocks/the-3-best-stocks-to-buy-right-now-with-1000-1033601480,neutral,0.8795204758644104
45,7/26/2024 6:19:20 PM,Why Tech Stocks Are Poised for a Strong Comeback Now,InvestorPlace,/news/stocks/why-tech-stocks-are-poised-for-a-strong-comeback-now-1033601605,neutral,0.7392066121101379
46,7/26/2024 6:21:23 PM,3 Standout Semiconductor Stocks to Buy Now,InvestorPlace,/news/stocks/3-standout-semiconductor-stocks-to-buy-now-1033601604,neutral,0.794174075126648
47,7/26/2024 6:34:42 PM,Stock Split Spotlight: The Next 3 Names That Could Follow Nvidia’s Lead,InvestorPlace,/news/stocks/stock-split-spotlight-the-next-3-names-that-could-follow-nvidias-lead-1033601630,neutral,0.9435274004936218
48,7/26/2024 7:00:38 PM,"Catalyst Watch: Tech blitz with Apple, Amazon, Microsoft, and Meta on tap for earnings",Seeking Alpha,https://seekingalpha.com/news/4129063-catalyst-watch-tech-blitz-with-apple-amazon-microsoft-and-meta-on-tap-for-earnings?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.9092090129852295
49,7/26/2024 7:27:43 PM,Raymond James Just Issued a Major Warning on Nvidia (NVDA) Stock,InvestorPlace,/news/stocks/raymond-james-just-issued-a-major-warning-on-nvidia-nvda-stock-1033601681,negative,0.9369214177131653
